EinheitMastrNummer,Gemeindeschluessel,Landkreis,Gemeinde,Laengengrad,Breitengrad,Inbetriebnahmedatum,EinheitBetriebsstatus,Bruttoleistung,Nettonennleistung,Lage
SEE952745299044,01061070,Steinburg,Moorhusen,9.386855,53.953550,2001-05-31,35,1500.000,1500.000,888
SEE955812727136,07338015,Rhein-Pfalz-Kreis,Kleinniedesheim,8.298443,49.586708,2016-06-16,35,2400.000,2400.000,888
SEE957806864032,01061070,Steinburg,Moorhusen,9.388611,53.950556,2001-06-06,35,1500.000,1500.000,888
SEE901432789030,13072095,Rostock,Schwaan,11.989583,53.925452,2018-09-25,35,3150.000,3150.000,888
SEE981911450149,01061070,Steinburg,Moorhusen,9.390278,53.947500,2001-05-25,35,1500.000,1500.000,888
SEE924251499560,16067003,Gotha,Ballstädt,10.556407,51.011659,,31,4200.000,4200.000,888
SEE980680413720,07338015,Rhein-Pfalz-Kreis,Kleinniedesheim,8.298814,49.583040,2016-06-20,35,2400.000,2400.000,888
SEE956427822483,01051139,Dithmarschen,Süderdorf,9.336329,54.202725,2022-02-11,35,4200.000,4200.000,888
SEE916256339590,16067005,Gotha,Brüheim,10.562180,51.008377,,31,4200.000,4200.000,888
SEE969462522218,09472127,Bayreuth,Creußen,11.717983,49.858991,2017-05-18,35,2400.000,2400.000,888
SEE923834983632,16067005,Gotha,Brüheim,10.565205,51.011030,,31,4200.000,4200.000,888
SEE985769294689,15081280,Altmarkkreis Salzwedel,Klötze,11.073304,52.615995,2000-01-26,35,600.000,600.000,888
SEE944529701478,09672131,Bad Kissingen,Maßbach,10.155111,50.220114,2014-12-13,35,2500.000,2500.000,888
SEE982680217346,13072022,Rostock,Carinerland,11.683469,54.002635,2010-06-22,35,1500.000,1500.000,888
SEE986413148723,13071004,Mecklenburgische Seenplatte,Altentreptow,13.298844,53.701805,2014-08-18,35,2350.000,2350.000,888
SEE994507499552,03452011,Aurich,Hinte,7.157974,53.436431,2017-05-24,35,2300.000,2300.000,888
SEE981898026641,13073093,Vorpommern-Rügen,Tribsees,12.846476,54.115527,2002-06-25,35,1500.000,1500.000,888
SEE990050357967,05562012,Recklinghausen,Dorsten,7.134011,51.738914,2022-02-04,35,5500.000,5500.000,888
SEE966321541045,09472127,Bayreuth,Creußen,11.722321,49.856754,2017-04-25,35,2400.000,2400.000,888
SEE990398406075,13072022,Rostock,Carinerland,11.697640,54.002298,2010-06-22,35,2500.000,2500.000,888
SEE980839801507,09472127,Bayreuth,Creußen,11.724033,49.853989,2017-04-12,35,2400.000,2400.000,888
SEE905284444741,03452011,Aurich,Hinte,7.160242,53.434063,2017-05-31,35,2300.000,2300.000,888
SEE984410703792,09472190,Bayreuth,Speichersdorf,11.731467,49.852568,2017-03-29,35,2400.000,2400.000,888
SEE956452338768,08415088,Reutlingen,Römerstein,9.628106,48.532260,2002-12-01,35,1500.000,1500.000,888
SEE958237513667,13071004,Mecklenburgische Seenplatte,Altentreptow,13.299502,53.699326,2014-08-01,35,2350.000,2350.000,888
SEE966980116417,05562012,Recklinghausen,Dorsten,7.136145,51.735118,2022-02-11,35,5500.000,5500.000,888
SEE934366070905,13072022,Rostock,Carinerland,11.702552,54.000878,2010-05-25,35,2500.000,2500.000,888
SEE958490452437,09472127,Bayreuth,Creußen,11.715019,49.852241,2017-05-23,35,2400.000,2400.000,888
SEE957877472334,03452011,Aurich,Hinte,7.155719,53.433757,2017-04-28,35,2300.000,2300.000,888
SEE905255835516,03353022,Harburg,Königsmoor,9.642272,53.223508,2015-06-12,35,3050.000,3050.000,888
SEE968733158682,09472127,Bayreuth,Creußen,11.708464,49.857799,2017-05-31,35,2400.000,2400.000,888
SEE933923484698,13072093,Rostock,Satow,11.950926,54.002683,2012-09-19,35,2400.000,2400.000,888
SEE999397790307,13073093,Vorpommern-Rügen,Tribsees,12.846064,54.112571,2002-06-25,35,1500.000,1500.000,888
SEE960751360849,06531006,Gießen,Grünberg,8.998381,50.597792,2017-08-29,35,2780.000,2780.000,888
SEE949204079637,15081280,Altmarkkreis Salzwedel,Klötze,11.077378,52.612889,2001-07-12,35,600.000,600.000,888
SEE956950638544,06531006,Gießen,Grünberg,9.000317,50.594447,2017-08-30,35,2780.000,2780.000,888
SEE931445450443,03452011,Aurich,Hinte,7.158337,53.431539,2017-05-22,35,2300.000,2300.000,888
SEE982451957976,06531006,Gießen,Grünberg,9.007310,50.592468,2017-08-31,35,2780.000,2780.000,888
SEE990581459963,01054109,Nordfriesland,Risum-Lindholm,8.849644,54.731923,2015-06-29,35,3300.000,3300.000,888
SEE951421486242,09672131,Bad Kissingen,Maßbach,10.167857,50.236733,2014-12-16,35,2500.000,2500.000,888
SEE978440621508,03455025,Friesland,Bockhorn,8.032007,53.432427,2001-04-26,35,1800.000,1800.000,888
SEE915626806663,07133051,Bad Kreuznach,Jeckenbach,7.599801,49.726317,2016-06-21,35,2400.000,2400.000,888
SEE942637893450,09672131,Bad Kissingen,Maßbach,10.161881,50.228088,2014-12-11,35,2500.000,2500.000,888
SEE943229737190,01054109,Nordfriesland,Risum-Lindholm,8.850373,54.737437,2015-08-27,35,3300.000,3300.000,888
SEE996237344294,07133051,Bad Kreuznach,Jeckenbach,7.594106,49.727984,2016-06-29,35,2400.000,2400.000,888
