AGS,Turbine_Count,Total_Bruttoleistung_kW,Total_Nettoleistung_kW,Landkreis_Names
07334,30,75200,75200,Germersheim
07335,51,107275,107275,Kaiserslautern
07336,65,168515,168515,Kusel
07337,20,46530,46530,Südliche Weinstraße
07338,19,40100,40100,Rhein-Pfalz-Kreis
07339,62,119321.3,119321.3,Mainz-Bingen
07340,47,116860,116860,Südwestpfalz
08111,1,0.6,0.6,Stuttgart
08116,5,2252.5,2252.5,Esslingen
08117,54,118870,118870,Göppingen
08118,6,3004.5,3004.5,Ludwigsburg
08119,9,21711,21711,Rems-Murr-Kreis
08125,25,72205.5,72205.5,Heilbronn
08126,20,55601,55601,Hohenlohekreis
08127,109,301451,301451,Schwäbisch Hall
08128,151,274226.5,274226.5,Main-Tauber-Kreis
08135,53,139462.043,139462.043,Heidenheim
08136,81,202765,202765,Ostalbkreis
08211,1,1,1,Baden-Baden
08212,3,3110,3110,Karlsruhe
08215,2,2095,2095,Karlsruhe
08216,2,6.5,6.5,Rastatt
08222,1,9.8,9.8,Mannheim
08225,42,107130,107130,Neckar-Odenwald-Kreis
08226,2,10,10,Rhein-Neckar-Kreis
08231,1,5,5,Pforzheim
08235,26,61110,61110,Calw
08237,14,20900,20900,Freudenstadt
08311,4,7200,7200,Freiburg im Breisgau
08315,17,24792.8,24792.8,Breisgau-Hochschwarzwald
08316,22,32668.5,32668.5,Emmendingen
08317,46,115283.7,115283.7,Ortenaukreis
08325,26,39581.5,39581.5,Rottweil
08326,10,12245,12245,Schwarzwald-Baar-Kreis
08327,16,40800,40800,Tuttlingen
08335,4,9902.8,9902.8,Konstanz
08336,11,26901.8,26901.8,Lörrach
08337,5,20.3,20.3,Waldshut
08415,9,7550.6,7550.6,Reutlingen
08416,1,0.6,0.6,Tübingen
08417,6,6015.4,6015.4,Zollernalbkreis
08421,13,24000,24000,Ulm
08425,32,37242,37242,Alb-Donau-Kreis
08426,7,3738.5,3738.5,Biberach
08436,7,3015.6,3015.6,Ravensburg
08437,11,23651,23651,Sigmaringen
