AGS,GEN,BEZ,EWZ,KFL_km2,Turbine_Count,Total_Bruttoleistung_kW,Total_Nettoleistung_kW,Landkreis_Names,Steuerkraft,Einwohnerdichte,Waldflaeche_Prozent,Landwirtschaft_Prozent,Siedlung_Verkehr_Prozent,Wasser_Prozent,Beschaeftigte_Primar,Beschaeftigte_Sekundar,Beschaeftigte_Tertiar,Windgeschwindigkeit_ms,Sonstige_Prozent,Wind_Density_kW_km2,Economic_Structure,Predicted_Wind_Density,Residuals,Residuals_Std,Performance_Class
01001,Flensburg,Kreisfreie Stadt,92667,56.73,25,69110,69110,Flensburg,1067.32995605469,1699.81994628906,7.40000009536743,19.8700008392334,55.0699996948242,14.3800001144409,0,15.400001525878906,84.5999984741211,8.83,3.279999256134076,1218.226687819496,Dienstleistungsorientiert,326.3059930940659,891.9206947254298,5.463860444280016,Outperformer (Hoch)
01002,Kiel,Kreisfreie Stadt,248873,118.65,1,75,75,Kiel,1165.18994140625,2121.80004882813,6.94000005722046,23.3500003814697,58.8800010681152,8.93000030517578,0,15.529998779296903,84.4700012207031,8.47,1.8999981880188557,0.6321112515802781,Dienstleistungsorientiert,261.3043922794467,-260.6722810278662,-1.5968650280806116,Underperformer (Tief)
01003,Lübeck,Kreisfreie Stadt,219044,214.19,17,14650,14650,Lübeck,997.030029296875,1013.40002441406,15.4399995803833,30.1900005340576,37.9099998474121,13.6599998474121,0.100000001490116,23.5699996948242,76.3300018310547,8.19,2.800000190734906,68.39721742378262,Dienstleistungsorientiert,279.02747666050266,-210.63025923672035,-1.2903101684015108,Normal
01004,Neumünster,Kreisfreie Stadt,80185,71.66,1,9.66,9.66,Neumünster,1103.26000976563,1108.85998535156,4.65999984741211,37.5800018310547,51.9099998474121,2.61999988555908,0.810000002384186,19.8099994659424,79.379997253418,8.49,3.2299985885620117,0.1348032375104661,Dienstleistungsorientiert,334.3508721726846,-334.216068935174,-2.0473905019770986,Underperformer (Tief)
01051,Dithmarschen,Kreis,135653,1428.18,886,2249044.64,2249044.64,Dithmarschen,1116.56005859375,93.4899978637695,3.8199999332428,75.1600036621094,11.3100004196167,4.82999992370605,4.09000015258789,24.8500003814697,71.0599975585938,9.27,4.879996061325045,1574.762732988839,Ländlich/Agrarisch,469.67903092472704,1105.0837020641115,6.7696860976921,Outperformer (Hoch)
01053,Herzogtum Lauenburg,Kreis,204836,1263.05,65,105086,105086,Herzogtum Lauenburg,1001.05999755859,162.660003662109,26.2099990844727,56.4500007629395,12.0699996948242,4.15000009536743,1.54999995231628,26.3099994659424,72.1399993896484,8.18,1.1200003623961692,83.20019001623055,Dienstleistungsorientiert,297.93197816548906,-214.73178814925848,-1.3154359242212998,Normal
01054,Nordfriesland,Kreis,170007,2083.53,961,2426011.6,2426011.6,Nordfriesland,1308.03002929688,81.6100006103516,4.26000022888184,75.629997253418,11.0100002288818,4.1399998664856,2.29999995231628,18.1700000762939,79.5199966430664,9.52,4.960002422332764,1164.3756509385514,Dienstleistungsorientiert,499.3491336884272,665.0265172501244,4.0739183466516975,Outperformer (Hoch)
01055,Ostholstein,Kreis,204275,1392.99,332,731612,731612,Ostholstein,1024.34997558594,144.669998168945,10.1700000762939,71.1800003051758,12.4399995803833,3.92000007629395,1.41999995708466,20.3400001525879,78.2399978637695,8.73,2.2899999618530558,525.2098005010804,Dienstleistungsorientiert,397.7714351061435,127.4383653949369,0.7806808922394727,Normal
01056,Pinneberg,Kreis,324018,664.27,16,30918,30918,Pinneberg,1284.61999511719,487.410003662109,8.84000015258789,60.7799987792969,22.0699996948242,5.76000022888184,2.23000001907349,27.3199996948242,70.4599990844727,8.49,2.5500011444091655,46.544326855043884,Dienstleistungsorientiert,354.0758501376383,-307.53152328259443,-1.883922343510838,Underperformer (Tief)
01057,Plön,Kreis,131370,1083.58,41,42770,42770,Plön,895.760009765625,120.559997558594,11.3999996185303,67.4599990844727,10.0699996948242,9.90999984741211,2.64000010490417,22.4799995422363,74.879997253418,8.79,1.1600017547606853,39.471012754019085,Dienstleistungsorientiert,401.6581657981235,-362.1871530441043,-2.2187399290620493,Underperformer (Tief)
01058,Rendsburg-Eckernförde,Kreis,279864,2189.75,217,557461.9,557461.9,Rendsburg-Eckernförde,999.590026855469,126.900001525879,11.6999998092651,69.3199996948242,11.5699996948242,4.36999988555908,2.60999989509583,23.7800006866455,73.5999984741211,8.86,3.040000915527415,254.57787418655099,Dienstleistungsorientiert,405.8152654209627,-151.23739123441166,-0.9264725042804224,Normal
