AGS,Jahr,Anlagen_kumuliert,Nettoleistung_kW_kumuliert,Wind_Density_kW_km2_kumuliert
01004,2022,0,0,0
01004,2023,1,9.66,0.1348032375104661
01051,1960,0,0,0
01051,1961,0,0,0
01051,1962,0,0,0
01051,1963,0,0,0
01051,1964,0,0,0
01051,1965,0,0,0
01051,1966,0,0,0
01051,1967,0,0,0
01051,1968,0,0,0
01051,1969,0,0,0
01051,1970,0,0,0
01051,1971,0,0,0
01051,1972,0,0,0
01051,1973,0,0,0
01051,1974,0,0,0
01051,1975,0,0,0
01051,1976,0,0,0
01051,1977,0,0,0
01051,1978,0,0,0
01051,1979,0,0,0
01051,1980,0,0,0
01051,1981,0,0,0
01051,1982,0,0,0
01051,1983,0,0,0
01051,1984,0,0,0
01051,1985,0,0,0
01051,1986,0,0,0
01051,1987,0,0,0
01051,1988,0,0,0
01051,1989,0,0,0
01051,1990,0,0,0
01051,1991,1,225,0.15754316682771077
01051,1992,1,225,0.15754316682771077
01051,1993,3,1225,0.8577350193953143
01051,1994,14,6625,4.638771023260373
01051,1995,20,9205,6.44526600288479
01051,1996,26,12505,8.755899116357881
01051,1997,29,15005,10.50637874777689
01051,1998,33,17605,12.32687756445266
01051,1999,43,22960,16.076404934952176
01051,2000,45,23960,16.77659678751978
01051,2001,64,37900,26.537271212312174
01051,2002,68,42250,29.58310577098125
01051,2003,72,49300,34.519458331582854
01051,2004,91,83150,58.22095254099623
01051,2005,98,97150,68.02363847694268
01051,2006,102,104000,72.81995266703076
01051,2007,104,106004.5,74.22348723550252
01051,2008,109,114904.5,80.4551947233542
01051,2009,159,219434.5,153.64624907224578
01051,2010,229,358002.5,250.67043369883348
01051,2011,314,537531.8,376.37538685599856
01051,2012,391,715480.6,500.97368679018047
01051,2013,456,871919.6,610.5110000140038
01051,2014,547,1115149.6,780.818664314022
01051,2015,645,1380777.1,966.8088756319231
01051,2016,708,1561753.6,1093.527146438124
01051,2017,755,1703561.1,1192.8196025711045
01051,2018,765,1719905.84,1204.2640563514403
01051,2019,765,1719905.84,1204.2640563514403
01051,2020,773,1730760.64,1211.864498872691
01051,2021,787,1771913.14,1240.6791440854793
01051,2022,814,1876638.64,1314.0070859415478
01051,2023,886,2249044.64,1574.762732988839
01053,1960,0,0,0
01053,1961,0,0,0
01053,1962,0,0,0
01053,1963,0,0,0
01053,1964,0,0,0
01053,1965,0,0,0
01053,1966,0,0,0
01053,1967,0,0,0
01053,1968,0,0,0
01053,1969,0,0,0
01053,1970,0,0,0
01053,1971,0,0,0
01053,1972,0,0,0
01053,1973,0,0,0
01053,1974,0,0,0
01053,1975,0,0,0
01053,1976,0,0,0
01053,1977,0,0,0
01053,1978,0,0,0
01053,1979,0,0,0
01053,1980,0,0,0
01053,1981,0,0,0
01053,1982,0,0,0
01053,1983,0,0,0
01053,1984,0,0,0
01053,1985,0,0,0
01053,1986,0,0,0
01053,1987,0,0,0
01053,1988,0,0,0
01053,1989,0,0,0
01053,1990,0,0,0
01053,1991,0,0,0
01053,1992,0,0,0
01053,1993,0,0,0
01053,1994,1,500,0.3958671469854717
01053,1995,1,500,0.3958671469854717
01053,1996,1,500,0.3958671469854717
01053,1997,2,1000,0.7917342939709434
01053,1998,2,1000,0.7917342939709434
01053,1999,2,1000,0.7917342939709434
01053,2000,2,1000,0.7917342939709434
01053,2001,2,1000,0.7917342939709434
01053,2002,28,27200,21.53517279600966
01053,2003,43,46000,36.419777522663395
01053,2004,43,46000,36.419777522663395
01053,2005,43,46000,36.419777522663395
01053,2006,43,46000,36.419777522663395
01053,2007,43,46000,36.419777522663395
01053,2008,43,46000,36.419777522663395
01053,2009,43,46000,36.419777522663395
01053,2010,43,46000,36.419777522663395
01053,2011,43,46000,36.419777522663395
01053,2012,43,46000,36.419777522663395
01053,2013,43,46000,36.419777522663395
01053,2014,54,75775,59.99366612564823
01053,2015,57,84275,66.72340762440125
01053,2016,60,88976,70.44535054035866
01053,2017,62,93676,74.16650172202209
01053,2018,63,93686,74.1744190649618
01053,2019,63,93686,74.1744190649618
01053,2020,63,93686,74.1744190649618
01053,2021,63,93686,74.1744190649618
01053,2022,63,93686,74.1744190649618
01053,2023,65,105086,83.20019001623055
01054,1960,0,0,0
01054,1961,0,0,0
01054,1962,0,0,0
01054,1963,0,0,0
01054,1964,0,0,0
01054,1965,0,0,0
01054,1966,0,0,0
01054,1967,0,0,0
01054,1968,0,0,0
01054,1969,0,0,0
01054,1970,0,0,0
01054,1971,0,0,0
01054,1972,0,0,0
01054,1973,0,0,0
01054,1974,0,0,0
01054,1975,0,0,0
01054,1976,0,0,0
01054,1977,0,0,0
01054,1978,0,0,0
01054,1979,0,0,0
01054,1980,0,0,0
01054,1981,0,0,0
01054,1982,0,0,0
01054,1983,1,55,0.026397508075237695
01054,1984,1,55,0.026397508075237695
01054,1985,1,55,0.026397508075237695
01054,1986,1,55,0.026397508075237695
01054,1987,1,55,0.026397508075237695
01054,1988,3,380,0.1823827830652786
01054,1989,3,380,0.1823827830652786
01054,1990,5,780,0.37436465997609825
01054,1991,5,780,0.37436465997609825
01054,1992,7,1205,0.5783454041938441
01054,1993,8,1955,0.9383114234016308
01054,1994,9,2180,1.0463012291639668
01054,1995,11,3380,1.6222468598964257
01054,1996,11,3380,1.6222468598964257
01054,1997,15,4375,2.0998017787120893
01054,1998,17,6475,3.1077066324938922
01054,1999,17,6475,3.1077066324938922
01054,2000,22,12975,6.2274121322947105
01054,2001,31,27125,13.018771028014955
01054,2002,55,71225,34.18477295743281
01054,2003,73,108225,51.943096571683625
01054,2004,84,128325,61.59018588645231
01054,2005,92,146175,70.15737714359764
01054,2006,110,199975,95.97893958810288
01054,2007,142,270075,129.623763516724
01054,2008,151,290575,139.4628347084035
01054,2009,191,385996,185.26059140017182
01054,2010,223,418307.8,200.76879142608936
01054,2011,261,482928.8,231.78394359572454
01054,2012,295,532507.4,255.57942530225145
01054,2013,352,678346.4,325.575537669244
01054,2014,586,1290466.4,619.3654039058712
01054,2015,669,1521497.4,730.2498164173301
01054,2016,736,1710587.8,821.0046411618742
01054,2017,816,1946065.1,934.0230762216046
01054,2018,830,1975551.6,948.1752602554318
01054,2019,840,1992995.6,956.5475899075127
01054,2020,866,2077902.1,997.2988629873339
01054,2021,888,2144139.6,1029.089861917035
01054,2022,925,2281545.6,1095.038516364055
01054,2023,961,2426011.6,1164.3756509385514
01055,1960,0,0,0
01055,1961,0,0,0
01055,1962,0,0,0
01055,1963,0,0,0
01055,1964,0,0,0
01055,1965,0,0,0
01055,1966,0,0,0
01055,1967,0,0,0
01055,1968,0,0,0
01055,1969,0,0,0
01055,1970,0,0,0
01055,1971,0,0,0
01055,1972,0,0,0
01055,1973,0,0,0
01055,1974,0,0,0
01055,1975,0,0,0
01055,1976,0,0,0
01055,1977,0,0,0
01055,1978,0,0,0
01055,1979,0,0,0
01055,1980,0,0,0
01055,1981,0,0,0
01055,1982,0,0,0
01055,1983,0,0,0
01055,1984,0,0,0
01055,1985,1,20,0.014357604864356529
01055,1986,1,20,0.014357604864356529
01055,1987,1,20,0.014357604864356529
01055,1988,1,20,0.014357604864356529
01055,1989,2,270,0.19382766566881313
01055,1990,4,420,0.3015097021514871
01055,1991,6,870,0.624555811599509
01055,1992,7,1020,0.732237848082183
01055,1993,10,1320,0.9476019210475308
01055,1994,12,2120,1.521906115621792
01055,1995,22,7820,5.613823501963402
01055,1996,26,9920,7.121372012720838
01055,1997,27,10420,7.480312134329751
01055,1998,28,11920,8.557132499156491
01055,1999,33,19420,13.941234323290189
01055,2000,75,76350,54.81015656968105
01055,2001,107,127000,91.17079088866396
01055,2002,138,174120,124.99730794908793
01055,2003,147,187920,134.90405530549393
01055,2004,147,187920,134.90405530549393
01055,2005,147,187920,134.90405530549393
01055,2006,177,256920,184.43779208752395
01055,2007,201,311020,223.27511324560837
01055,2008,216,345520,248.04198163662338
01055,2009,217,347820,249.6931061960244
01055,2010,220,352426,252.99966259628567
01055,2011,220,352426,252.99966259628567
01055,2012,226,359348,257.9688296398395
01055,2013,234,377794,271.2108486062355
01055,2014,241,397394,285.2813013733049
01055,2015,247,406450,291.78242485588555
01055,2016,257,436950,313.6777722740292
01055,2017,268,468050,336.00384783810364
01055,2018,284,510951,366.80162815239163
01055,2019,287,518951,372.54467009813425
01055,2020,289,523651,375.918707241258
01055,2021,293,532622,382.35881090316514
01055,2022,301,558012,400.58579027846577
01055,2023,332,731612,525.2098005010804
01056,1960,0,0,0
01056,1961,0,0,0
01056,1962,0,0,0
01056,1963,0,0,0
01056,1964,0,0,0
01056,1965,0,0,0
01056,1966,0,0,0
01056,1967,0,0,0
01056,1968,0,0,0
01056,1969,0,0,0
01056,1970,0,0,0
